file	pr	ref
2184-allow-html-details.md	3360	refs/pr/upstream/3360
2241-e2e-verification-in-dms.md	3360	refs/pr/upstream/3360
2265-email-lowercase.md	3360	refs/pr/upstream/3360
2312-matrix-uri.md	3360	refs/pr/upstream/3360
2320-identity-versions.md	3360	refs/pr/upstream/3360
2366-key-verification-accept.md	3360	refs/pr/upstream/3360
2403-knock.md	3360	refs/pr/upstream/3360
2414-optional-content-reporting-reason.md	3360	refs/pr/upstream/3360
2557-spoiler-clarifications.md	3360	refs/pr/upstream/3360
2713-remove-deprecated-identity-endpoints.md	3360	refs/pr/upstream/3360
2732-olm-fallback-keys.md	3360	refs/pr/upstream/3360
2758-textual-id-grammar.md	3360	refs/pr/upstream/3360
2765-widget-avatars.md	3360	refs/pr/upstream/3360
2774-widget-id.md	3360	refs/pr/upstream/3360
2778-appservice-login.md	3360	refs/pr/upstream/3360
2788-v6-default-version.md	3360	refs/pr/upstream/3360
2801-untrusted-event-data.md	3360	refs/pr/upstream/3360
2844-global-versioning.md	3360	refs/pr/upstream/3360
2858-Multiple-SSO-Identity-Providers.md	3360	refs/pr/upstream/3360
2874-single-ssss.md	3360	refs/pr/upstream/3360
2998-rooms-v7.md	3360	refs/pr/upstream/3360
3083-restricted-rooms.md	3360	refs/pr/upstream/3360
3122-deprecate-starting-verifications-without-request.md	3360	refs/pr/upstream/3360
3173-expose-stripped-state-events.md	3360	refs/pr/upstream/3360
3289-rooms-v8.md	3360	refs/pr/upstream/3360
3360-server-status.md	3360	refs/pr/upstream/3360
1543-qr_code_key_verification.md	3361	refs/pr/upstream/3361
1756-cross-signing.md	3361	refs/pr/upstream/3361
1772-groups-as-rooms.md	3361	refs/pr/upstream/3361
1960-integrations-openid.md	3361	refs/pr/upstream/3361
2010-spoilers.md	3361	refs/pr/upstream/3361
2184-allow-html-details.md	3361	refs/pr/upstream/3361
2241-e2e-verification-in-dms.md	3361	refs/pr/upstream/3361
2265-email-lowercase.md	3361	refs/pr/upstream/3361
2312-matrix-uri.md	3361	refs/pr/upstream/3361
2320-identity-versions.md	3361	refs/pr/upstream/3361
2366-key-verification-accept.md	3361	refs/pr/upstream/3361
2403-knock.md	3361	refs/pr/upstream/3361
2414-optional-content-reporting-reason.md	3361	refs/pr/upstream/3361
2557-spoiler-clarifications.md	3361	refs/pr/upstream/3361
2713-remove-deprecated-identity-endpoints.md	3361	refs/pr/upstream/3361
2732-olm-fallback-keys.md	3361	refs/pr/upstream/3361
2758-textual-id-grammar.md	3361	refs/pr/upstream/3361
2765-widget-avatars.md	3361	refs/pr/upstream/3361
2774-widget-id.md	3361	refs/pr/upstream/3361
2778-appservice-login.md	3361	refs/pr/upstream/3361
2788-v6-default-version.md	3361	refs/pr/upstream/3361
2801-untrusted-event-data.md	3361	refs/pr/upstream/3361
2844-global-versioning.md	3361	refs/pr/upstream/3361
2858-Multiple-SSO-Identity-Providers.md	3361	refs/pr/upstream/3361
2874-single-ssss.md	3361	refs/pr/upstream/3361
2998-rooms-v7.md	3361	refs/pr/upstream/3361
